predicted,truth
3.084666666666663,2.56
1.5775000000000001,1.64
4.3685,3.84
3.911499999999999,4.16
4.29500000000001,4.44
2.6220000000000017,2.4
2.6410000000000005,2.68
3.691833333333332,3.72
4.189833333333336,4.6
2.2384999999999966,1.52
4.481999999999995,4.52
1.8330000000000009,1.04
2.511999999999998,2.4
3.309833333333332,2.96
3.9793333333333347,3.88
3.998333333333339,4.44
2.6138333333333326,2.4
4.420833333333326,4.88
2.514333333333332,2.64
3.5375000000000014,4.08
2.7531666666666683,2.4
3.4786666666666677,3.48
3.6956666666666655,3.68
3.951666666666666,3.96
3.9391666666666607,3.88
4.250833333333329,4.44
4.404666666666659,4.76
3.393,2.88
2.6778333333333317,2.68
3.1115000000000044,3.2
3.380000000000004,2.72
4.233833333333332,4.04
3.864000000000001,4.52
3.6309999999999985,4.0
3.6001666666666674,3.84
3.611666666666671,3.72
4.257833333333324,4.08
4.093833333333326,4.36
2.4428333333333296,2.2
2.891666666666665,2.96
2.918499999999995,2.96
4.057666666666673,4.48
3.776999999999995,3.48
2.6658333333333326,2.08
1.877333333333332,1.56
4.021333333333332,4.2
3.640833333333338,3.6
3.295333333333338,3.04
4.1905000000000046,4.72
4.196499999999997,4.04
4.114666666666664,4.24
4.028666666666674,4.32
3.3049999999999993,2.04
3.8025000000000007,3.24
2.4628333333333328,2.4
3.3745000000000034,3.2
3.0773333333333373,2.52
3.1813333333333365,3.56
4.191833333333342,4.08
3.634666666666665,3.2
1.5208333333333326,1.12
4.208666666666664,4.4
3.697999999999996,2.24
2.1614999999999975,1.92
4.432500000000005,4.44
3.006833333333339,1.68
3.8570000000000064,4.24
3.9396666666666684,3.56
3.9879999999999973,4.76
4.276333333333328,4.56
4.263666666666662,4.56
3.3388333333333384,3.0
3.3133333333333375,3.68
4.241000000000008,4.28
4.096166666666666,4.48
4.038833333333337,4.48
4.008333333333332,3.96
4.236500000000015,3.96
2.4610000000000025,2.44
2.632333333333331,2.8
4.43433333333334,4.52
3.550833333333339,3.88
3.9538333333333338,3.8
2.5038333333333282,2.0
4.264666666666669,4.56
4.137500000000005,3.88
3.8628333333333336,3.48
2.6796666666666695,2.72
3.6210000000000053,4.0
3.834999999999997,4.08
4.216000000000006,4.4
2.847333333333338,2.92
4.111333333333336,3.92
3.971166666666666,3.76
3.7863333333333373,3.64
4.272333333333342,4.48
3.1341666666666668,4.28
3.985333333333335,3.92
2.510833333333332,2.32
3.670833333333333,3.56
3.621500000000003,3.84
1.4008333333333327,1.56
4.031666666666668,4.24
3.178333333333334,4.44
3.768666666666664,3.4
2.9040000000000004,3.32
3.91183333333333,4.28
3.2708333333333317,3.48
2.6053333333333337,2.4
4.129166666666671,4.16
2.8425000000000002,2.92
2.4263333333333397,2.24
2.5470000000000015,2.16
1.9114999999999964,2.0
3.973166666666667,3.92
4.450500000000001,4.52
1.7901666666666654,1.0
4.44533333333332,4.64
3.414999999999995,4.08
4.159666666666667,4.2
4.26016666666667,4.24
3.8746666666666782,3.76
4.1115,4.68
3.587166666666666,4.0
4.092000000000007,4.6
1.8711666666666653,1.08
2.4379999999999993,2.64
3.55566666666666,3.72
4.18383333333333,4.28
2.6589999999999976,2.2
2.366500000000003,2.36
3.3416666666666686,3.56
2.8761666666666676,1.92
3.979666666666662,4.28
4.112666666666665,4.4
3.5330000000000075,3.88
4.296833333333341,4.4
4.448666666666668,4.68
2.673499999999999,3.48
3.744000000000001,4.08
2.0376666666666656,1.96
3.7663333333333373,3.96
4.054833333333333,4.12
2.3508333333333313,1.24
2.9975000000000036,3.44
3.6521666666666674,3.4
3.8241666666666694,3.72
3.9414999999999982,3.32
2.754333333333332,2.32
2.608166666666669,2.72
2.6076666666666695,2.96
3.463666666666662,3.76
4.016500000000004,3.48
4.349333333333346,4.2
4.264500000000007,4.36
3.370500000000003,2.76
4.187666666666672,4.44
2.7596666666666647,2.84
3.5888333333333384,4.12
4.428666666666661,4.6
3.9788333333333314,3.92
2.472333333333332,2.68
1.7718333333333323,1.4
4.047666666666667,4.12
3.7675000000000005,4.2
3.626,4.04
2.319333333333334,2.12
3.365166666666665,3.08
2.395333333333334,2.6
3.706833333333335,3.88
2.7814999999999985,2.72
3.3626666666666694,3.32
3.8875000000000037,4.04
4.0103333333333335,3.96
3.9676666666666724,3.2
3.109500000000003,3.2
3.7245000000000066,3.8
2.4823333333333384,1.92
4.196166666666669,3.8
1.8893333333333298,1.28
3.6926666666666685,3.8
3.927999999999997,3.8
3.43733333333334,3.6
3.7483333333333393,3.52
3.9763333333333244,3.84
4.160333333333333,4.36
3.020833333333333,3.04
