predicted,truth
3.0233333333333334,2.56
1.8173333333333341,1.64
4.280999999999997,3.84
4.027666666666664,4.16
4.220999999999998,4.44
2.43233333333333,2.4
2.5719999999999987,2.68
3.6000000000000005,3.72
4.114999999999997,4.6
2.1423333333333328,1.52
4.39733333333333,4.52
2.2796666666666665,1.04
2.515333333333332,2.4
3.418333333333335,2.96
4.0936666666666675,3.88
4.085666666666663,4.44
3.005,2.4
4.444666666666668,4.88
2.5926666666666653,2.64
3.9000000000000026,4.08
2.4166666666666656,2.4
2.287333333333336,3.48
3.9566666666666666,3.68
3.8776666666666695,3.96
3.9413333333333367,3.88
4.253000000000003,4.44
4.421666666666662,4.76
3.6196666666666655,2.88
2.6700000000000013,2.68
3.1196666666666655,3.2
2.5623333333333322,2.72
4.134333333333337,4.04
3.4240000000000035,4.52
3.7059999999999977,4.0
3.886666666666669,3.84
3.268,3.72
4.22566666666666,4.08
4.242000000000002,4.36
2.4643333333333333,2.2
2.9950000000000028,2.96
3.1029999999999984,2.96
3.9573333333333367,4.48
3.781666666666665,3.48
3.020999999999999,2.08
2.2689999999999992,1.56
3.828999999999999,4.2
3.897666666666669,3.6
3.403333333333331,3.04
4.208,4.72
4.134666666666667,4.04
4.024333333333329,4.24
3.8786666666666645,4.32
3.669,2.04
3.6623333333333354,3.24
2.3316666666666674,2.4
3.1226666666666687,3.2
2.7366666666666655,2.52
3.0846666666666684,3.56
4.446000000000001,4.08
3.2013333333333334,3.2
1.810666666666667,1.12
3.9776666666666682,4.4
3.6666666666666656,2.24
2.337000000000001,1.92
4.456333333333333,4.44
2.632666666666665,1.68
3.9313333333333396,4.24
4.022000000000001,3.56
4.253666666666666,4.76
4.401333333333325,4.56
4.383666666666659,4.56
2.5606666666666666,3.0
3.101666666666665,3.68
4.221999999999996,4.28
4.0059999999999985,4.48
4.098,4.48
4.126666666666669,3.96
4.133666666666664,3.96
2.553666666666668,2.44
2.6546666666666665,2.8
4.433666666666668,4.52
3.538666666666665,3.88
3.9729999999999985,3.8
2.8246666666666647,2.0
4.015333333333334,4.56
4.07966666666667,3.88
3.273000000000002,3.48
2.817,2.72
3.449666666666666,4.0
4.1233333333333375,4.08
4.144666666666671,4.4
2.972000000000001,2.92
4.00233333333333,3.92
3.8516666666666657,3.76
3.392333333333335,3.64
4.3440000000000065,4.48
4.071333333333333,4.28
3.737666666666664,3.92
1.7690000000000015,2.32
3.875666666666666,3.56
3.8116666666666696,3.84
1.5856666666666681,1.56
3.9989999999999997,4.24
2.6053333333333337,4.44
3.7080000000000033,3.4
2.290666666666668,3.32
4.0386666666666615,4.28
2.5833333333333326,3.48
2.607666666666667,2.4
4.280333333333331,4.16
3.103999999999999,2.92
2.2493333333333316,2.24
3.618000000000001,2.16
2.4199999999999986,2.0
3.8933333333333353,3.92
4.346,4.52
2.314666666666666,1.0
4.455333333333332,4.64
3.2720000000000016,4.08
4.173333333333335,4.2
4.201333333333334,4.24
3.8973333333333358,3.76
4.149333333333333,4.68
3.383666666666667,4.0
4.37966666666667,4.6
2.7220000000000004,1.08
2.6816666666666653,2.64
3.5926666666666662,3.72
4.236,4.28
2.594666666666667,2.2
2.699333333333333,2.36
2.9616666666666633,3.56
2.717666666666667,1.92
4.118333333333329,4.28
4.457666666666666,4.4
3.1936666666666693,3.88
4.217666666666667,4.4
4.5040000000000004,4.68
3.1233333333333335,3.48
3.573666666666665,4.08
2.5623333333333322,1.96
3.378000000000002,3.96
4.129333333333334,4.12
2.5826666666666664,1.24
2.8303333333333307,3.44
3.68866666666667,3.4
3.88133333333333,3.72
4.327333333333329,3.32
2.6053333333333355,2.32
2.5540000000000016,2.72
2.5833333333333335,2.96
3.3630000000000018,3.76
4.100666666666663,3.48
4.381000000000003,4.2
4.220333333333338,4.36
3.092333333333331,2.76
4.174999999999995,4.44
2.6543333333333297,2.84
3.690999999999996,4.12
4.37266666666666,4.6
3.9323333333333346,3.92
2.4056666666666655,2.68
2.2013333333333334,1.4
4.060333333333332,4.12
4.140333333333334,4.2
3.9943333333333357,4.04
2.405,2.12
3.623666666666666,3.08
2.8733333333333344,2.6
3.9593333333333383,3.88
2.4810000000000003,2.72
2.5506666666666664,3.32
3.6846666666666668,4.04
3.899333333333331,3.96
3.598666666666666,3.2
2.9066666666666654,3.2
4.116333333333331,3.8
2.3496666666666686,1.92
3.9356666666666693,3.8
1.8103333333333338,1.28
3.698999999999999,3.8
3.756999999999995,3.8
2.5580000000000007,3.6
3.827333333333337,3.52
3.831000000000002,3.84
4.114666666666662,4.36
3.1963333333333326,3.04
